Catálogo UNICO
Homologación entre los catálogos de SESA y OCRA


ID OCRA	ID SESA	Marca	Descripción 2014	Segmento, Clase	Clasificación
429	100	AUDI	A4	LUJO	AUTOMOVILES
430	116	AUDI	A8	LUJO	AUTOMOVILES
431	119	AUDI	A6	LUJO	AUTOMOVILES
433	118	AUDI	A3	LUJO	AUTOMOVILES
434	152	AUDI	TT	DEPORTIVO	AUTOMOVILES
436	153	AUDI	S3	DEPORTIVO	AUTOMOVILES
438	154	AUDI	S4	DEPORTIVO	AUTOMOVILES
439	155	AUDI	S6	DEPORTIVO	AUTOMOVILES
440	156	AUDI	S8	DEPORTIVO	AUTOMOVILES
442	186	AUDI	RS6	LUJO	AUTOMOVILES
445	298	AUDI	Q7	MULTIUSOS	AUTOMOVILES
446	462	JAGUAR	XJ	LUJO	AUTOMOVILES
450	463	JAGUAR	XK	LUJO	AUTOMOVILES
453	461	JAGUAR	X	LUJO	AUTOMOVILES
457	101	PEUGEOT	306	COMPACTO	AUTOMOVILES
458	114	PEUGEOT	405	LUJO	AUTOMOVILES
459	140	PEUGEOT	206	SUBCOMPACTO	AUTOMOVILES
460	207	PEUGEOT	406	LUJO	AUTOMOVILES
461	206	PEUGEOT	307	COMPACTO	AUTOMOVILES
462	277	PEUGEOT	407	LUJO	AUTOMOVILES
463	208	PEUGEOT	607	LUJO	AUTOMOVILES
464	7100	PEUGEOT	PARTNER FURGON	1	COMERCIAL
466	291	PEUGEOT	GRAND RAID	MULTIUSOS	AUTOMOVILES
467	351	PORSCHE	BOXSTER	DEPORTIVO	AUTOMOVILES
469	103	PORSCHE	911	DEPORTIVO	AUTOMOVILES
472	205	PORSCHE	CAYENNE	MULTIUSOS	AUTOMOVILES
479	211	ROVER	MG	DEPORTIVO	AUTOMOVILES
481	210	ROVER	75	LUJO	AUTOMOVILES
482	213	TOYOTA	LAND CRUISER	MULTIUSOS	AUTOMOVILES
484	177	TOYOTA	CAMRY	COMPACTO	AUTOMOVILES
485	214	TOYOTA	RAV4	MULTIUSOS	AUTOMOVILES
486	7109	TOYOTA	TACOMA PICK UP	1	COMERCIAL
490	184	TOYOTA	4 RUNNER	MULTIUSOS	AUTOMOVILES
492	7112	TOYOTA	HIACE PANEL	1	COMERCIAL
494	178	TOYOTA	COROLLA	COMPACTO	AUTOMOVILES
496	179	TOYOTA	MATRIX	COMPACTO	AUTOMOVILES
497	216	TOYOTA	YARIS	SUBCOMPACTO	AUTOMOVILES
498	289	TOYOTA	SOLARA	LUJO	AUTOMOVILES
499	234	TOYOTA	MR2	DEPORTIVO	AUTOMOVILES
500	7110	TOYOTA	HILUX PICK UP	1	COMERCIAL
501	215	TOYOTA	SIENNA	MULTIUSOS	AUTOMOVILES
505	282	SUBARU	LEGACY	LUJO	AUTOMOVILES
507	131	GENERAL MOTORS	ASTRA	COMPACTO	AUTOMOVILES
508	105	GENERAL MOTORS	EXPRESS VAN PASAJEROS	MULTIUSOS	AUTOMOVILES
509	133	GENERAL MOTORS	SONORA	MULTIUSOS	AUTOMOVILES
510	7035	GENERAL MOTORS	CARRIOL, EXPRESS CARGO VAN	1	COMERCIAL
512	160	GENERAL MOTORS	ZAFIRA	COMPACTO	AUTOMOVILES
513	7588	GENERAL MOTORS	AVALANCHE	1	COMERCIAL
514	187	GENERAL MOTORS	MERIVA	COMPACTO	AUTOMOVILES
515	188	GENERAL MOTORS	VECTRA	COMPACTO	AUTOMOVILES
516	228	GENERAL MOTORS	EQUINOX	MULTIUSOS	AUTOMOVILES
519	335	GENERAL MOTORS	AVEO	SUBCOMPACTO	AUTOMOVILES
521	7030	GENERAL MOTORS	COLORADO PICK UP	1	COMERCIAL
522	288	GENERAL MOTORS	OPTRA	COMPACTO	AUTOMOVILES
524	287	GENERAL MOTORS	TAHOE	MULTIUSOS	AUTOMOVILES
532	261	MAZDA	3	COMPACTO	AUTOMOVILES
533	263	MAZDA	5	DEPORTIVO	AUTOMOVILES
534	262	MAZDA	6	COMPACTO	AUTOMOVILES
535	358	MAZDA	MX5	DEPORTIVO	AUTOMOVILES
539	319	MAZDA	CX7	MULTIUSOS	AUTOMOVILES
542	201	MITSUBISHI	MONTERO	MULTIUSOS	AUTOMOVILES
546	198	MITSUBISHI	ECLIPSE	DEPORTIVO	AUTOMOVILES
547	199	MITSUBISHI	GALANT	LUJO	AUTOMOVILES
